bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.79987,True,10603,0.98777,-16.62038,0,True,Salmon,10,50,0.94464,0.99015,True
True,0.90946,True,10515,0.86285,-16.77172,10,True,Salmon,10,50,0.97718,0.49925,True
True,0.80630,True,10542,0.98693,-17.34080,0,True,Salmon,10,75,0.92629,0.98978,True
True,0.89000,True,10536,0.88143,-15.46700,10,True,Salmon,10,75,0.97361,0.52757,True
True,0.80641,True,10543,0.98509,-18.42500,0,True,Salmon,10,100,0.90771,0.98989,True
True,0.89747,True,10533,0.86775,-16.16785,10,True,Salmon,10,100,0.96630,0.52836,True
True,0.80515,True,10603,0.99053,-22.30274,0,True,RSEM,10,50,0.94303,0.99210,True
True,0.90176,True,10515,0.95394,-26.22134,10,True,RSEM,10,50,0.96595,0.67092,True
True,0.86132,True,10542,0.98938,-29.79460,0,True,RSEM,10,75,0.92478,0.99215,True
True,0.84852,True,10536,0.96186,-21.78187,10,True,RSEM,10,75,0.95672,0.71306,True
True,0.79987,True,10543,0.98900,-21.96302,0,True,RSEM,10,100,0.90743,0.99301,True
True,0.82104,True,10533,0.95787,-17.25241,10,True,RSEM,10,100,0.94418,0.72905,True
True,0.78299,True,10603,0.99074,-16.28648,0,True,Kallisto,10,50,0.94464,0.99264,True
True,0.91270,True,10515,0.86347,-18.06506,10,True,Kallisto,10,50,0.97737,0.50075,True
True,0.78695,True,10542,0.98919,-16.04172,0,True,Kallisto,10,75,0.92620,0.99193,True
True,0.89816,True,10536,0.88239,-17.12446,10,True,Kallisto,10,75,0.97371,0.52950,True
True,0.78687,True,10543,0.98880,-16.51228,0,True,Kallisto,10,100,0.90790,0.99247,True
True,0.89718,True,10533,0.86686,-16.22064,10,True,Kallisto,10,100,0.96630,0.52911,True
True,0.80383,True,10603,0.98784,-15.03526,0,True,Express,10,50,0.93323,0.98939,True
True,0.82216,True,10515,0.95004,-10.22692,10,True,Express,10,50,0.96443,0.66588,True
True,0.80440,True,10542,0.98818,-16.33282,0,True,Express,10,75,0.92146,0.98763,True
